UTME    UTMN    DICT
298     2784    3110
292     2787    3110
296     2790    3110
294     2790    3110
293     2790    3110
296     2781    3110
295     2781    3110
298     2787    3110
296     2789    3110
297     2783    3110
292     2789    3110
296     2783    3110
295     2783    3110
294     2783    3110
292     2785    3110
295     2785    3110
293     2785    3110
293     2789    3110
296     2787    3110
296     2788    3110
294     2788    3110
292     2788    3110
291     2788    3110
296     2785    3110
297     2785    3110
295     2780    3110
294     2789    3110
298     2785    3110
297     2789    3110
297     2787    3110
295     2787    3110
294     2787    3110
293     2787    3110
291     2787    3110
301     2785    3110
298     2783    3110
297     2784    3110
300     2786    3110
299     2786    3110
298     2786    3110
295     2792    3110
297     2782    3110
294     2786    3110
296     2782    3110
295     2782    3110
290     2786    3110
291     2786    3110
297     2791    3110
300     2785    3110
295     2789    3110
297     2790    3110
299     2785    3110
298     2790    3110
295     2790    3110
315     2769    3111
314     2771    3111
311     2771    3111
312     2771    3111
315     2771    3111
313     2771    3111
314     2776    3111
312     2776    3111
319     2771    3111
316     2775    3111
314     2775    3111
312     2775    3111
313     2775    3111
315     2775    3111
318     2772    3111
317     2772    3111
313     2772    3111
319     2772    3111
314     2778    3111
312     2772    3111
315     2772    3111
313     2778    3111
317     2770    3111
316     2774    3111
317     2774    3111
314     2774    3111
312     2774    3111
315     2774    3111
320     2770    3111
313     2779    3111
314     2772    3111
315     2773    3111
313     2773    3111
322     2772    3111
321     2772    3111
313     2777    3111
310     2778    3111
316     2770    3111
316     2772    3111
312     2779    3111
320     2772    3111
311     2779    3111
310     2779    3111
312     2778    3111
316     2771    3111
314     2777    3111
320     2773    3111
318     2773    3111
311     2777    3111
316     2773    3111
317     2773    3111
319     2773    3111
314     2770    3111
314     2773    3111
312     2777    3111
312     2773    3111
312     2770    3111
315     2770    3111
317     2771    3111
313     2770    3111
320     2771    3111
313     2776    3111
318     2771    3111
321     2771    3111
319     2770    3111
311     2778    3111
313     2774    3111
312     2780    3111
311     2780    3111
310     2780    3111
313     2780    3111
312     2781    3111
330     2777    3112
332     2777    3112
334     2777    3112
328     2778    3112
332     2775    3112
